Source,Target,Type,Id,Label,timeset,Weight
https://t.me/Belarus_VPO,https://t.me/zangaro,Undirected,77,,,1
https://t.me/Belarus_VPO,https://t.me/vatfor,Undirected,76,,,1
https://t.me/Belarus_VPO,https://t.me/vanguard1802,Undirected,75,,,1
https://t.me/Belarus_VPO,https://t.me/valdaiclub,Undirected,74,,,1
https://t.me/Belarus_VPO,https://t.me/tolk_tolk,Undirected,73,,,1
https://t.me/Belarus_VPO,https://t.me/subforcherald,Undirected,72,,,1
https://t.me/Belarus_VPO,https://t.me/speciallassi,Undirected,71,,,1
https://t.me/Belarus_VPO,https://t.me/sinatech,Undirected,70,,,1
https://t.me/Belarus_VPO,https://t.me/sanctionsrisk,Undirected,69,,,1
https://t.me/Belarus_VPO,https://t.me/ru_global,Undirected,68,,,1
https://t.me/Belarus_VPO,https://t.me/repostik,Undirected,67,,,1
https://t.me/Belarus_VPO,https://t.me/prbezposhady,Undirected,66,,,1
https://t.me/Belarus_VPO,https://t.me/postamerica,Undirected,65,,,1
https://t.me/Belarus_VPO,https://t.me/poisk_mil,Undirected,64,,,1
https://t.me/Belarus_VPO,https://t.me/planeradar,Undirected,63,,,1
https://t.me/Belarus_VPO,https://t.me/pithhelmet,Undirected,62,,,1
https://t.me/Belarus_VPO,https://t.me/odnako_s,Undirected,61,,,1
https://t.me/Belarus_VPO,https://t.me/notsooperline,Undirected,60,,,1
https://t.me/Belarus_VPO,https://t.me/northkoreadaily,Undirected,59,,,1
https://t.me/Belarus_VPO,https://t.me/norin_ea,Undirected,58,,,1
https://t.me/Belarus_VPO,https://t.me/navostok,Undirected,57,,,1
https://t.me/Belarus_VPO,https://t.me/lumandao,Undirected,56,,,1
https://t.me/Belarus_VPO,https://t.me/lovuska,Undirected,55,,,1
https://t.me/Belarus_VPO,https://t.me/karaulny,Undirected,54,,,1
https://t.me/Belarus_VPO,https://t.me/kalashnikovmagazine,Undirected,53,,,1
https://t.me/Belarus_VPO,https://t.me/iron_wind,Undirected,52,,,1
https://t.me/Belarus_VPO,https://t.me/indiaanalytics,Undirected,51,,,1
https://t.me/Belarus_VPO,https://t.me/fuckyouthatswhy,Undirected,50,,,1
https://t.me/Belarus_VPO,https://t.me/evgenyprimakov,Undirected,49,,,1
https://t.me/Belarus_VPO,https://t.me/energy4africa,Undirected,48,,,1
https://t.me/Belarus_VPO,https://t.me/dimsmirnov175,Undirected,47,,,1
https://t.me/Belarus_VPO,https://t.me/daokedao,Undirected,46,,,1
https://t.me/Belarus_VPO,https://t.me/chinabewithyou,Undirected,45,,,1
https://t.me/Belarus_VPO,https://t.me/brussinf,Undirected,44,,,1
https://t.me/Belarus_VPO,https://t.me/britishpolitics,Undirected,43,,,1
https://t.me/Belarus_VPO,https://t.me/bmpd_cast,Undirected,42,,,1
https://t.me/Belarus_VPO,https://t.me/bbbreaking,Undirected,41,,,1
https://t.me/Belarus_VPO,https://t.me/afric_ylbIbka,Undirected,40,,,1
https://t.me/Belarus_VPO,https://t.me/Nevrotique,Undirected,39,,,1
https://t.me/Belarus_VPO,https://t.me/NY_USA_World,Undirected,38,,,1
https://t.me/Belarus_VPO,https://t.me/Korea_Light,Undirected,37,,,1
https://t.me/Belarus_VPO,https://t.me/HouseOfCardsEurope,Undirected,36,,,1
https://t.me/Belarus_VPO,https://t.me/GreekMilitaryPortal,Undirected,35,,,1
https://t.me/GreekMilitaryPortal,https://t.me/zangaro,Undirected,120,,,1
https://t.me/GreekMilitaryPortal,https://t.me/vatfor,Undirected,119,,,1
https://t.me/GreekMilitaryPortal,https://t.me/vanguard1802,Undirected,118,,,1
https://t.me/GreekMilitaryPortal,https://t.me/valdaiclub,Undirected,117,,,1
https://t.me/GreekMilitaryPortal,https://t.me/tolk_tolk,Undirected,116,,,1
https://t.me/GreekMilitaryPortal,https://t.me/subforcherald,Undirected,115,,,1
https://t.me/GreekMilitaryPortal,https://t.me/speciallassi,Undirected,114,,,1
https://t.me/GreekMilitaryPortal,https://t.me/sinatech,Undirected,113,,,1
https://t.me/GreekMilitaryPortal,https://t.me/sanctionsrisk,Undirected,112,,,1
https://t.me/GreekMilitaryPortal,https://t.me/ru_global,Undirected,111,,,1
https://t.me/GreekMilitaryPortal,https://t.me/repostik,Undirected,110,,,1
https://t.me/GreekMilitaryPortal,https://t.me/prbezposhady,Undirected,109,,,1
https://t.me/GreekMilitaryPortal,https://t.me/postamerica,Undirected,108,,,1
https://t.me/GreekMilitaryPortal,https://t.me/poisk_mil,Undirected,107,,,1
https://t.me/GreekMilitaryPortal,https://t.me/planeradar,Undirected,106,,,1
https://t.me/GreekMilitaryPortal,https://t.me/pithhelmet,Undirected,105,,,1
https://t.me/GreekMilitaryPortal,https://t.me/odnako_s,Undirected,104,,,1
https://t.me/GreekMilitaryPortal,https://t.me/notsooperline,Undirected,103,,,1
https://t.me/GreekMilitaryPortal,https://t.me/northkoreadaily,Undirected,102,,,1
https://t.me/GreekMilitaryPortal,https://t.me/norin_ea,Undirected,101,,,1
https://t.me/GreekMilitaryPortal,https://t.me/navostok,Undirected,100,,,1
https://t.me/GreekMilitaryPortal,https://t.me/lumandao,Undirected,99,,,1
https://t.me/GreekMilitaryPortal,https://t.me/lovuska,Undirected,98,,,1
https://t.me/GreekMilitaryPortal,https://t.me/karaulny,Undirected,97,,,1
