Id,Label,timeset,modularity_class
https://t.me/bmpd_cast,https://t.me/bmpd_cast,,0
https://t.me/notsooperline,https://t.me/notsooperline,,0
https://t.me/milinfolive,https://t.me/milinfolive,,1
https://t.me/rybar,https://t.me/rybar,,1
https://t.me/sashakots,https://t.me/sashakots,,1
https://t.me/ArmsControlFreak,https://t.me/ArmsControlFreak,,1
https://t.me/Army_Russia,https://t.me/Army_Russia,,1
https://t.me/Artillery_Artillery,https://t.me/Artillery_Artillery,,1
https://t.me/AviaCT,https://t.me/AviaCT,,1
https://t.me/AviaticA,https://t.me/AviaticA,,1
https://t.me/ChDambiev,https://t.me/ChDambiev,,1
https://t.me/ImpNavigator,https://t.me/ImpNavigator,,1
https://t.me/Ministerstvo_oborony,https://t.me/Ministerstvo_oborony,,1
https://t.me/PortNews_ru,https://t.me/PortNews_ru,,1
https://t.me/SIL0VIKI,https://t.me/SIL0VIKI,,1
https://t.me/Viktor_Murakhovskiy,https://t.me/Viktor_Murakhovskiy,,1
https://t.me/antresol_avia,https://t.me/antresol_avia,,1
https://t.me/anxious_waters,https://t.me/anxious_waters,,1
https://t.me/ararathau,https://t.me/ararathau,,1
https://t.me/astramilitarum,https://t.me/astramilitarum,,1
https://t.me/aviachatchannel,https://t.me/aviachatchannel,,1
https://t.me/aviadispet4er,https://t.me/aviadispet4er,,1
https://t.me/aviadrive,https://t.me/aviadrive,,1
https://t.me/aviaincident,https://t.me/aviaincident,,1
https://t.me/aviasalonmaks,https://t.me/aviasalonmaks,,1
https://t.me/aviationmode,https://t.me/aviationmode,,1
https://t.me/aviatorshina,https://t.me/aviatorshina,,1
https://t.me/caucasuswar,https://t.me/caucasuswar,,1
https://t.me/china3army,https://t.me/china3army,,1
https://t.me/cyber_MipZ,https://t.me/cyber_MipZ,,1
https://t.me/cybersecgame,https://t.me/cybersecgame,,1
https://t.me/dronesrussia,https://t.me/dronesrussia,,1
https://t.me/faceofwar,https://t.me/faceofwar,,1
https://t.me/fighter_bomber,https://t.me/fighter_bomber,,1
https://t.me/first_morskoy,https://t.me/first_morskoy,,1
https://t.me/forenavy,https://t.me/forenavy,,1
https://t.me/fotozak,https://t.me/fotozak,,1
https://t.me/gruz0potok,https://t.me/gruz0potok,,1
https://t.me/helincidents,https://t.me/helincidents,,1
https://t.me/infantmilitario,https://t.me/infantmilitario,,1
https://t.me/karabah_news,https://t.me/karabah_news,,1
https://t.me/kiverilafet,https://t.me/kiverilafet,,1
https://t.me/kramnikcat,https://t.me/kramnikcat,,1
https://t.me/migdalsergei,https://t.me/migdalsergei,,1
https://t.me/military_arm,https://t.me/military_arm,,1
https://t.me/military_az,https://t.me/military_az,,1
https://t.me/militarymaps,https://t.me/militarymaps,,1
https://t.me/militaryrussiaru,https://t.me/militaryrussiaru,,1
https://t.me/moria40k,https://t.me/moria40k,,1
https://t.me/navyphotos,https://t.me/navyphotos,,1
https://t.me/new_militarycolumnist,https://t.me/new_militarycolumnist,,1
https://t.me/nuclear_stormbringer,https://t.me/nuclear_stormbringer,,1
https://t.me/oboronka_channel,https://t.me/oboronka_channel,,1
https://t.me/operline_ru,https://t.me/operline_ru,,1
https://t.me/piratebarge,https://t.me/piratebarge,,1
https://t.me/proUAV,https://t.me/proUAV,,1
https://t.me/proflot,https://t.me/proflot,,1
https://t.me/propeller_news,https://t.me/propeller_news,,1
https://t.me/pvo_vks,https://t.me/pvo_vks,,1
https://t.me/seamensway_ru,https://t.me/seamensway_ru,,1
https://t.me/sibirskiyokean,https://t.me/sibirskiyokean,,1
https://t.me/south0wind,https://t.me/south0wind,,1
https://t.me/space78125,https://t.me/space78125,,1
https://t.me/survivalavia,https://t.me/survivalavia,,1
https://t.me/svarschiki,https://t.me/svarschiki,,1
https://t.me/true_secator,https://t.me/true_secator,,1
https://t.me/vertolatte,https://t.me/vertolatte,,1
https://t.me/vestnikpvo,https://t.me/vestnikpvo,,1
https://t.me/voenvz,https://t.me/voenvz,,1
https://t.me/warbolts,https://t.me/warbolts,,1
https://t.me/warjournal,https://t.me/warjournal,,1
https://t.me/wingsofwar,https://t.me/wingsofwar,,1
https://t.me/yadernykontrol,https://t.me/yadernykontrol,,1
https://t.me/zvezdanews,https://t.me/zvezdanews,,1
https://t.me/zvozduh,https://t.me/zvozduh,,1
https://t.me/nbondarik,https://t.me/nbondarik,,7
https://t.me/Belarus_VPO,https://t.me/Belarus_VPO,,0
https://t.me/GreekMilitaryPortal,https://t.me/GreekMilitaryPortal,,0
https://t.me/HouseOfCardsEurope,https://t.me/HouseOfCardsEurope,,0
https://t.me/Korea_Light,https://t.me/Korea_Light,,0
https://t.me/NY_USA_World,https://t.me/NY_USA_World,,0
